scenario_id,route_id,origin_port,destination_port,distance_nm,weather_scenario,cargo_demand_tonnes,deadline_hours,candidate_vessel_type,vessel_capacity_tonnes,candidate_fuel_type,candidate_speed_knots,shaft_power_kw,voyage_duration_hours,total_fuel_litres,total_fuel_cost_usd,total_co2_kg,cargo_capacity_sufficient,schedule_feasible,candidate_valid
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,conventional,8.5,2261.49,917.65,398280.9,238968.55,1301183.75,0,0,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,conventional,11.25,5243.2,693.33,697680.7,418608.4,2279322.74,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,conventional,14.0,6000.0,557.14,641558.4,384935.06,2095971.43,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,lng,8.5,2261.49,917.65,714809.4,321664.24,884576.67,0,0,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,lng,11.25,5243.2,693.33,1252153.2,563468.94,1549539.59,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,lng,14.0,6000.0,557.14,1151428.6,518142.86,1424892.86,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,methanol,8.5,2261.49,917.65,917094.2,504401.82,1002347.29,0,0,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,methanol,11.25,5243.2,693.33,1606501.5,883575.85,1755841.92,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Handysize Bulk Carrier,35000,methanol,14.0,6000.0,557.14,1477272.7,812500.0,1614600.0,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,conventional,8.5,2913.89,917.65,513177.8,307906.68,1676551.85,0,0,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,conventional,11.5,7216.23,678.26,939346.2,563607.72,3068844.04,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,conventional,14.5,8000.0,537.93,825914.3,495548.59,2698262.07,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,lng,8.5,2913.89,917.65,921019.1,414458.59,1139761.12,0,0,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,lng,11.5,7216.23,678.26,1685879.2,758645.65,2086275.55,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,lng,14.5,8000.0,537.93,1482298.9,667034.48,1834344.83,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,methanol,8.5,2913.89,917.65,1181659.4,649912.66,1291506.45,0,0,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,methanol,11.5,7216.23,678.26,2162968.2,1189632.52,2364037.75,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Supramax Bulk Carrier,58000,methanol,14.5,8000.0,537.93,1901776.4,1045977.01,2078565.52,0,1,0
SCN_0001,R1_Mormugao_Rotterdam,Mormugao_IN,Rotterdam_NL,7800,high_wave_wind,93987.0,777.6,Panamax Bulk Carrier,75000,conventional,8.5,3327.22,917.65,585970.7,351582.42,1914366.27,0,0,0
