vessel_id,vessel_type,capacity_tonnes,cargo_load_tonnes,engine_power_kw,speed_knots,distance_nm,wind_speed_knots,wave_height_m,current_speed_knots,weather_condition,fuel_type,fuel_price,fuel_consumed_litres,co2_emission_kg,travel_time_hours,route_id,origin_port,destination_port,deadline_hours
V-02,Container,85000.0,77762.8,48000.0,18.6,1120.5,16.3,1.59,0.3,Moderate,MGO,0.671,280209.8,772538.4,60.52,R-SSZ-ANR,SSZ,ANR,75.3
V-02,Container,85000.0,47406.5,48000.0,19.3,1170.2,5.2,0.83,0.69,Calm,HFO,0.512,246695.1,756613.9,59.1,R-LAX-ANR,LAX,ANR,74.0
V-09,Ro-Ro Ferry,18000.0,16982.7,19000.0,18.5,5888.7,6.2,0.65,0.14,Calm,Electric,0.42,184729.0,64655.1,319.46,R-LAX-SSZ,LAX,SSZ,355.0
V-08,LNG Carrier,80000.0,65631.5,24000.0,16.5,2920.9,14.8,1.96,0.06,Moderate,Biofuel,0.836,698536.1,706918.5,176.38,R-SUZ-SGP,SUZ,SGP,249.9
V-10,Ro-Ro Ferry,22000.0,19410.7,21000.0,11.8,3035.5,5.8,1.07,0.84,Calm,MGO,0.671,153864.8,424205.3,260.63,R-SHA-BOM,SHA,BOM,369.8
V-02,Container,85000.0,69610.4,48000.0,18.9,4191.5,17.8,2.4,0.57,Moderate,MGO,0.671,1178306.8,3248591.8,216.72,R-SGP-PAN,SGP,PAN,258.4
V-08,LNG Carrier,80000.0,58944.7,24000.0,19.0,2419.2,24.9,3.35,0.73,Rough,Biofuel,0.836,1009570.3,1021685.1,122.87,R-SUZ-PUS,SUZ,PUS,139.7
V-05,Oil Tanker,110000.0,86578.9,16000.0,12.3,3763.9,7.4,1.05,0.93,Calm,LNG,0.288,892140.7,1104470.2,327.98,R-DXB-PUS,DXB,PUS,390.0
V-09,Ro-Ro Ferry,18000.0,15568.0,19000.0,17.7,5053.9,16.6,2.04,0.61,Moderate,MGO,0.671,581799.3,1604020.7,281.18,R-ANR-DXB,ANR,DXB,316.0
V-02,Container,85000.0,67511.8,48000.0,17.7,3716.7,12.6,2.32,0.09,Moderate,LNG,0.288,1392939.2,1724458.7,209.25,R-SSZ-BOM,SSZ,BOM,279.0
V-05,Oil Tanker,110000.0,96345.6,16000.0,12.6,1016.4,29.7,4.51,0.17,Stormy,LNG,0.288,368453.7,456145.7,79.59,R-RTM-PAN,RTM,PAN,92.1
V-10,Ro-Ro Ferry,22000.0,16585.5,21000.0,20.7,468.9,9.5,1.09,0.13,Calm,LNG,0.288,94408.6,116877.8,22.61,R-SGP-DXB,SGP,DXB,29.4
V-06,Oil Tanker,150000.0,102301.6,22000.0,11.3,552.1,9.4,1.02,0.67,Calm,MGO,0.671,63663.9,175521.4,48.66,R-PUS-SHA,PUS,SHA,65.7
V-07,LNG Carrier,95000.0,69755.4,28000.0,17.3,2606.3,7.4,0.86,0.68,Calm,Biofuel,0.836,678842.0,686988.1,155.48,R-SSZ-CMB,SSZ,CMB,201.2
V-02,Container,85000.0,48879.4,48000.0,16.2,3144.6,21.3,3.36,1.0,Rough,MGO,0.671,717916.0,1979294.4,204.13,R-SSZ-LAX,SSZ,LAX,296.0
V-08,LNG Carrier,80000.0,64464.1,24000.0,14.6,8061.6,14.5,1.39,0.44,Moderate,Biofuel,0.836,1370199.5,1386641.9,548.64,R-SSZ-BOM,SSZ,BOM,778.0
V-07,LNG Carrier,95000.0,74654.4,28000.0,13.8,1250.1,7.5,1.1,1.03,Calm,Biofuel,0.836,216095.8,218688.9,95.97,R-CMB-SSZ,CMB,SSZ,126.0
V-09,Ro-Ro Ferry,18000.0,14561.5,19000.0,21.1,5852.8,23.6,2.8,0.61,Rough,MGO,0.671,1131858.6,3120534.2,270.83,R-LAX-SUZ,LAX,SUZ,309.6
V-03,Bulk Carrier,75000.0,71170.3,12000.0,12.9,8148.4,13.5,2.1,1.22,Moderate,HFO,0.512,1024210.3,3141253.0,667.12,R-ANR-SSZ,ANR,SSZ,918.4
V-02,Container,85000.0,69263.6,48000.0,18.6,2151.7,5.7,1.12,0.26,Calm,LNG,0.288,866315.5,1072498.6,114.18,R-LAX-PUS,LAX,PUS,140.6
V-08,LNG Carrier,80000.0,65669.1,24000.0,18.8,2376.0,7.0,0.82,0.29,Calm,LNG,0.288,1059870.0,1312119.1,125.25,R-CMB-SUZ,CMB,SUZ,176.7
V-02,Container,85000.0,61308.0,48000.0,19.4,1837.5,18.0,2.24,1.09,Moderate,LNG,0.288,868125.4,1074739.2,100.35,R-ANR-CMB,ANR,CMB,137.8
V-08,LNG Carrier,80000.0,64552.3,24000.0,16.8,1548.6,12.5,2.37,1.58,Moderate,Biofuel,0.836,351555.7,355774.4,84.6,R-SSZ-PUS,SSZ,PUS,120.6
V-05,Oil Tanker,110000.0,85855.0,16000.0,15.0,7862.2,9.0,0.91,0.56,Calm,LNG,0.288,2527615.9,3129188.5,506.08,R-PUS-ANR,PUS,ANR,560.3
V-04,Bulk Carrier,60000.0,55070.6,9800.0,13.1,674.0,7.4,0.98,0.46,Calm,Biofuel,0.836,85436.0,86461.2,49.71,R-BOM-SGP,BOM,SGP,66.3
V-01,Container,120000.0,108643.7,65000.0,18.7,7805.1,5.3,0.56,3.0,Calm,HFO,0.512,1699230.3,5211539.3,377.14,R-PAN-LAX,PAN,LAX,499.8
V-08,LNG Carrier,80000.0,63743.6,24000.0,20.5,8944.0,16.7,2.04,0.01,Moderate,Biofuel,0.836,3532927.3,3575322.4,436.4,R-DXB-SUZ,DXB,SUZ,539.2
V-05,Oil Tanker,110000.0,95282.9,16000.0,12.6,3659.8,17.0,2.39,0.05,Moderate,LNG,0.288,946717.2,1172035.9,289.67,R-CMB-SSZ,CMB,SSZ,318.9
V-08,LNG Carrier,80000.0,49494.5,24000.0,16.3,3084.7,15.0,2.44,0.04,Moderate,Biofuel,0.836,738050.8,746907.4,189.49,R-SSZ-PAN,SSZ,PAN,251.9
V-01,Container,120000.0,94123.2,65000.0,15.1,2907.1,26.2,2.88,0.17,Rough,LNG,0.288,968878.2,1199471.2,194.4,R-DXB-CMB,DXB,CMB,238.7
